rho0,mass,radius
1.770000e+19,3.559382e+30,9.268860e+03
1.780000e+19,3.560173e+30,9.269900e+03
1.790000e+19,3.560953e+30,9.270920e+03
1.800000e+19,3.561723e+30,9.271900e+03
1.810000e+19,3.562482e+30,9.272860e+03
1.820000e+19,3.563231e+30,9.273790e+03
1.830000e+19,3.563970e+30,9.274700e+03
1.840000e+19,3.564698e+30,9.275580e+03
1.850000e+19,3.565417e+30,9.276440e+03
1.860000e+19,3.566125e+30,9.277270e+03
1.870000e+19,3.566823e+30,9.278080e+03
1.880000e+19,3.567511e+30,9.278860e+03
1.890000e+19,3.568190e+30,9.279620e+03
1.900000e+19,3.568859e+30,9.280360e+03
1.910000e+19,3.569518e+30,9.281080e+03
1.920000e+19,3.570168e+30,9.281780e+03
1.930000e+19,3.570808e+30,9.282450e+03
1.940000e+19,3.571439e+30,9.283110e+03
1.950000e+19,3.572061e+30,9.283740e+03
1.960000e+19,3.572674e+30,9.284360e+03
1.970000e+19,3.573277e+30,9.284960e+03
1.980000e+19,3.573872e+30,9.285530e+03
1.990000e+19,3.574458e+30,9.286090e+03
2.000000e+19,3.575035e+30,9.286630e+03
2.010000e+19,3.575604e+30,9.287160e+03
2.020000e+19,3.576164e+30,9.287660e+03
2.030000e+19,3.576716e+30,9.288150e+03
2.040000e+19,3.577259e+30,9.288630e+03
2.050000e+19,3.577794e+30,9.289080e+03
2.060000e+19,3.578321e+30,9.289530e+03
2.070000e+19,3.578840e+30,9.289950e+03
2.080000e+19,3.579350e+30,9.290360e+03
2.090000e+19,3.579854e+30,9.290760e+03
2.100000e+19,3.580349e+30,9.291140e+03
2.110000e+19,3.580836e+30,9.291510e+03
2.120000e+19,3.581316e+30,9.291870e+03
2.130000e+19,3.581789e+30,9.292210e+03
2.140000e+19,3.582254e+30,9.292540e+03
2.150000e+19,3.582712e+30,9.292850e+03
2.160000e+19,3.583163e+30,9.293150e+03
2.170000e+19,3.583606e+30,9.293440e+03
2.180000e+19,3.584043e+30,9.293720e+03
2.190000e+19,3.584473e+30,9.293990e+03
2.200000e+19,3.584896e+30,9.294240e+03
2.210000e+19,3.585312e+30,9.294490e+03
2.220000e+19,3.585721e+30,9.294720e+03
2.230000e+19,3.586124e+30,9.294940e+03
2.240000e+19,3.586520e+30,9.295150e+03
2.250000e+19,3.586910e+30,9.295360e+03
2.260000e+19,3.587294e+30,9.295550e+03
2.270000e+19,3.587671e+30,9.295730e+03
2.280000e+19,3.588042e+30,9.295900e+03
2.290000e+19,3.588408e+30,9.296070e+03
2.300000e+19,3.588767e+30,9.296220e+03
2.310000e+19,3.589120e+30,9.296360e+03
2.320000e+19,3.589468e+30,9.296500e+03
2.330000e+19,3.589809e+30,9.296630e+03
2.340000e+19,3.590145e+30,9.296750e+03
2.350000e+19,3.590476e+30,9.296860e+03
2.360000e+19,3.590801e+30,9.296960e+03
2.370000e+19,3.591120e+30,9.297060e+03
2.380000e+19,3.591434e+30,9.297150e+03
2.390000e+19,3.591743e+30,9.297230e+03
2.400000e+19,3.592047e+30,9.297300e+03
2.410000e+19,3.592345e+30,9.297370e+03
2.420000e+19,3.592639e+30,9.297430e+03
2.430000e+19,3.592927e+30,9.297480e+03
2.440000e+19,3.593210e+30,9.297530e+03
2.450000e+19,3.593489e+30,9.297570e+03
2.460000e+19,3.593763e+30,9.297600e+03
2.470000e+19,3.594032e+30,9.297630e+03
2.480000e+19,3.594296e+30,9.297650e+03
2.490000e+19,3.594556e+30,9.297670e+03
2.500000e+19,3.594811e+30,9.297680e+03
2.510000e+19,3.595062e+30,9.297680e+03
2.520000e+19,3.595308e+30,9.297680e+03
2.530000e+19,3.595550e+30,9.297680e+03
2.540000e+19,3.595788e+30,9.297670e+03
2.550000e+19,3.596021e+30,9.297650e+03
2.560000e+19,3.596251e+30,9.297630e+03
2.570000e+19,3.596476e+30,9.297600e+03
2.580000e+19,3.596697e+30,9.297570e+03
2.590000e+19,3.596914e+30,9.297540e+03
2.600000e+19,3.597127e+30,9.297500e+03
2.610000e+19,3.597337e+30,9.297460e+03
2.620000e+19,3.597542e+30,9.297410e+03
2.630000e+19,3.597744e+30,9.297360e+03
2.640000e+19,3.597942e+30,9.297300e+03
2.650000e+19,3.598137e+30,9.297240e+03
2.660000e+19,3.598327e+30,9.297180e+03
2.670000e+19,3.598515e+30,9.297110e+03
2.680000e+19,3.598698e+30,9.297040e+03
2.690000e+19,3.598879e+30,9.296970e+03
2.700000e+19,3.599055e+30,9.296890e+03
2.710000e+19,3.599229e+30,9.296810e+03
2.720000e+19,3.599399e+30,9.296730e+03
2.730000e+19,3.599566e+30,9.296640e+03
2.740000e+19,3.599730e+30,9.296550e+03
2.750000e+19,3.599890e+30,9.296460e+03
2.760000e+19,3.600048e+30,9.296360e+03
2.770000e+19,3.600202e+30,9.296260e+03
2.780000e+19,3.600354e+30,9.296160e+03
2.790000e+19,3.600502e+30,9.296050e+03
2.800000e+19,3.600647e+30,9.295950e+03
